                                                        Feff 6L.02  potph 4.12
 Abs   Z=45 Rmt= 1.316 Rnm= 1.411 K shell
 Pot 1 Z=45 Rmt= 1.345 Rnm= 1.471
 Gam_ch=7.071E+00 H-L exch
 Mu=-5.570E+00 kf=1.965E+00 Vint=-2.027E+01 Rs_int= 1.846
 Path    1      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2  12.000   2.6870    2.7783   -5.56956 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  45 Rh       absorbing atom
     0.0000    1.9000   -1.9000  1  45 Rh    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.4595E+00  0.0000E+00 -4.4728E+00  0.1153E+01  4.2641E+00  1.9785E+00
  0.200  2.4536E+00  8.0977E-02 -5.4978E+00  0.1152E+01  4.2845E+00  1.9880E+00
  0.400  2.4362E+00  1.5557E-01 -6.4250E+00  0.1151E+01  4.3437E+00  2.0164E+00
  0.600  2.4075E+00  2.1884E-01 -7.2594E+00  0.1148E+01  4.4358E+00  2.0629E+00
  0.800  2.3682E+00  2.6816E-01 -8.0069E+00  0.1145E+01  4.5514E+00  2.1267E+00
  1.000  2.3186E+00  3.0311E-01 -8.6721E+00  0.1142E+01  4.6792E+00  2.2066E+00
  1.200  2.2588E+00  3.2466E-01 -9.2561E+00  0.1141E+01  4.8074E+00  2.3016E+00
  1.400  2.1885E+00  3.3433E-01 -9.7555E+00  0.1141E+01  4.9260E+00  2.4109E+00
  1.600  2.1069E+00  3.3392E-01 -1.0161E+01  0.1143E+01  5.0296E+00  2.5339E+00
  1.800  2.0121E+00  3.2629E-01 -1.0457E+01  0.1146E+01  5.1196E+00  2.6703E+00
  2.000  1.9017E+00  3.1725E-01 -1.0623E+01  0.1150E+01  5.2069E+00  2.8201E+00
  2.200  1.7728E+00  3.1717E-01 -1.0649E+01  0.1153E+01  5.3122E+00  2.9834E+00
  2.400  1.4776E+00  3.4701E-01 -1.0375E+01  0.1189E+01  5.1625E+00  3.2126E+00
  2.600  1.5093E+00  4.3699E-01 -1.0389E+01  0.1348E+01  4.1824E+00  3.3388E+00
  2.800  1.4914E+00  5.4186E-01 -1.0482E+01  0.1414E+01  3.8340E+00  3.4721E+00
  3.000  1.4512E+00  6.6466E-01 -1.0546E+01  0.1433E+01  3.6947E+00  3.6122E+00
  3.200  1.4117E+00  7.8167E-01 -1.0626E+01  0.1428E+01  3.6558E+00  3.7589E+00
  3.400  1.3372E+00  8.6769E-01 -1.0694E+01  0.1411E+01  3.6753E+00  3.9114E+00
  3.600  1.2573E+00  9.1257E-01 -1.0754E+01  0.1386E+01  3.7332E+00  4.0693E+00
  3.800  1.1508E+00  9.0672E-01 -1.0798E+01  0.1356E+01  3.8183E+00  4.2319E+00
  4.000  1.0468E+00  8.6567E-01 -1.0839E+01  0.1328E+01  3.9241E+00  4.3986E+00
  4.200  9.4139E-01  7.9598E-01 -1.0875E+01  0.1298E+01  4.0461E+00  4.5689E+00
  4.400  8.2412E-01  7.0883E-01 -1.0873E+01  0.1270E+01  4.1813E+00  4.7425E+00
  4.600  7.0911E-01  6.1732E-01 -1.0845E+01  0.1245E+01  4.3277E+00  4.9188E+00
  4.800  5.8601E-01  5.2851E-01 -1.0776E+01  0.1218E+01  4.4835E+00  5.0976E+00
  5.000  4.6556E-01  4.5524E-01 -1.0663E+01  0.1196E+01  4.6476E+00  5.2785E+00
  5.200  3.4123E-01  3.9858E-01 -1.0503E+01  0.1174E+01  4.8191E+00  5.4613E+00
  5.400  2.1916E-01  3.6919E-01 -1.0309E+01  0.1153E+01  4.9971E+00  5.6457E+00
  5.600  9.8932E-02  3.6281E-01 -1.0111E+01  0.1134E+01  5.1810E+00  5.8316E+00
  5.800 -1.9446E-02  3.7748E-01 -9.9392E+00  0.1117E+01  5.3703E+00  6.0188E+00
  6.000 -1.3548E-01  4.0361E-01 -9.8098E+00  0.1101E+01  5.5646E+00  6.2071E+00
  6.500 -4.1113E-01  4.9297E-01 -9.6314E+00  0.1069E+01  6.0699E+00  6.6820E+00
  7.000 -6.7692E-01  5.7549E-01 -9.6047E+00  0.1040E+01  6.5995E+00  7.1617E+00
  7.500 -9.3928E-01  6.3663E-01 -9.6589E+00  0.1015E+01  7.1503E+00  7.6449E+00
  8.000 -1.1962E+00  6.7487E-01 -9.7467E+00  0.9951E+00  7.7198E+00  8.1310E+00
  8.500 -1.4492E+00  6.9175E-01 -9.8496E+00  0.9789E+00  8.3062E+00  8.6193E+00
  9.000 -1.6906E+00  6.9286E-01 -9.9548E+00  0.9659E+00  8.9079E+00  9.1093E+00
  9.500 -1.9216E+00  6.8425E-01 -1.0064E+01  0.9549E+00  9.5237E+00  9.6007E+00
 10.000 -2.1422E+00  6.6781E-01 -1.0182E+01  0.9470E+00  1.0153E+01  1.0093E+01
 11.000 -2.5583E+00  6.2181E-01 -1.0414E+01  0.9374E+00  1.1446E+01  1.1081E+01
 12.000 -2.9456E+00  5.6159E-01 -1.0635E+01  0.9307E+00  1.2782E+01  1.2071E+01
