                                                        Feff 6L.02  potph 4.12
 Abs   Z=79 Rmt= 1.448 Rnm= 1.581 LIII shell
 Pot 1 Z=79 Rmt= 1.442 Rnm= 1.570
 Gam_ch=4.912E+00 H-L exch
 Mu=-3.018E+00 kf=1.802E+00 Vint=-1.539E+01 Rs_int= 2.013
 Path    1      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2  12.000   2.8850    2.9671   -3.01827 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  79 Au       absorbing atom
     0.0000    2.0400   -2.0400  1  79 Au    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  5.6879E+00  0.0000E+00 -8.3421E+00  0.1090E+01  5.6176E+00  1.8105E+00
  0.200  5.6827E+00  6.5901E-02 -9.4664E+00  0.1089E+01  5.6498E+00  1.8210E+00
  0.400  5.6674E+00  1.1785E-01 -1.0536E+01  0.1088E+01  5.7419E+00  1.8521E+00
  0.600  5.6424E+00  1.4894E-01 -1.1566E+01  0.1086E+01  5.8805E+00  1.9030E+00
  0.800  5.6081E+00  1.6218E-01 -1.2575E+01  0.1085E+01  6.0451E+00  1.9725E+00
  1.000  5.5651E+00  1.6796E-01 -1.3567E+01  0.1083E+01  6.2118E+00  2.0591E+00
  1.200  5.5138E+00  1.7735E-01 -1.4511E+01  0.1083E+01  6.3578E+00  2.1618E+00
  1.400  5.4546E+00  1.9412E-01 -1.5347E+01  0.1083E+01  6.4678E+00  2.2797E+00
  1.600  5.3872E+00  2.1339E-01 -1.6031E+01  0.1085E+01  6.5406E+00  2.4122E+00
  1.800  5.3105E+00  2.2737E-01 -1.6551E+01  0.1087E+01  6.5928E+00  2.5591E+00
  2.000  5.2227E+00  2.3073E-01 -1.6901E+01  0.1089E+01  6.6611E+00  2.7208E+00
  2.200  5.1199E+00  2.2404E-01 -1.7065E+01  0.1089E+01  6.7992E+00  2.8978E+00
  2.400  5.0281E+00  2.1810E-01 -1.6925E+01  0.1214E+01  4.9982E+00  3.0887E+00
  2.600  5.0478E+00  2.1656E-01 -1.6954E+01  0.1259E+01  4.4026E+00  3.2200E+00
  2.800  5.0525E+00  2.4822E-01 -1.6878E+01  0.1273E+01  4.1704E+00  3.3589E+00
  3.000  5.0263E+00  3.0355E-01 -1.6904E+01  0.1267E+01  4.0939E+00  3.5049E+00
  3.200  5.0005E+00  3.7887E-01 -1.6978E+01  0.1259E+01  4.1021E+00  3.6574E+00
  3.400  4.9617E+00  4.3402E-01 -1.7086E+01  0.1244E+01  4.1638E+00  3.8156E+00
  3.600  4.9148E+00  4.7083E-01 -1.7227E+01  0.1229E+01  4.2625E+00  3.9788E+00
  3.800  4.8592E+00  4.8196E-01 -1.7349E+01  0.1212E+01  4.3886E+00  4.1464E+00
  4.000  4.7936E+00  4.6733E-01 -1.7497E+01  0.1195E+01  4.5361E+00  4.3179E+00
  4.200  4.7232E+00  4.3873E-01 -1.7616E+01  0.1179E+01  4.7008E+00  4.4927E+00
  4.400  4.6454E+00  3.9891E-01 -1.7772E+01  0.1164E+01  4.8800E+00  4.6703E+00
  4.600  4.5625E+00  3.4923E-01 -1.7915E+01  0.1148E+01  5.0715E+00  4.8504E+00
  4.800  4.4773E+00  2.9653E-01 -1.8068E+01  0.1134E+01  5.2736E+00  5.0327E+00
  5.000  4.3900E+00  2.4717E-01 -1.8251E+01  0.1119E+01  5.4853E+00  5.2168E+00
  5.200  4.3007E+00  2.0175E-01 -1.8520E+01  0.1105E+01  5.7055E+00  5.4026E+00
  5.400  4.2116E+00  1.7061E-01 -1.8840E+01  0.1092E+01  5.9334E+00  5.5898E+00
  5.600  4.1233E+00  1.6298E-01 -1.9257E+01  0.1080E+01  6.1684E+00  5.7782E+00
  5.800  4.0356E+00  1.7830E-01 -1.9657E+01  0.1067E+01  6.4099E+00  5.9678E+00
  6.000  3.9480E+00  2.0553E-01 -1.9947E+01  0.1057E+01  6.6575E+00  6.1582E+00
  6.500  3.7320E+00  2.9790E-01 -2.0350E+01  0.1031E+01  7.3007E+00  6.6380E+00
  7.000  3.5168E+00  3.6319E-01 -2.0522E+01  0.1010E+01  7.9748E+00  7.1216E+00
  7.500  3.3019E+00  3.8913E-01 -2.0596E+01  0.9910E+00  8.6764E+00  7.6083E+00
  8.000  3.0832E+00  3.8690E-01 -2.0611E+01  0.9742E+00  9.4026E+00  8.0973E+00
  8.500  2.8740E+00  3.7159E-01 -2.0576E+01  0.9594E+00  1.0151E+01  8.5880E+00
  9.000  2.6697E+00  3.4637E-01 -2.0500E+01  0.9484E+00  1.0921E+01  9.0802E+00
  9.500  2.4701E+00  3.2515E-01 -2.0371E+01  0.9394E+00  1.1710E+01  9.5735E+00
 10.000  2.2738E+00  3.1823E-01 -2.0207E+01  0.9328E+00  1.2517E+01  1.0068E+01
 11.000  1.9016E+00  3.4702E-01 -1.9925E+01  0.9234E+00  1.4182E+01  1.1058E+01
 12.000  1.5548E+00  4.0910E-01 -1.9777E+01  0.9177E+00  1.5908E+01  1.2051E+01
 13.000  1.2275E+00  4.6939E-01 -1.9755E+01  0.9150E+00  1.7690E+01  1.3045E+01
 14.000  9.2224E-01  5.1389E-01 -1.9795E+01  0.9135E+00  1.9522E+01  1.4040E+01
 15.000  6.3512E-01  5.3662E-01 -1.9874E+01  0.9136E+00  2.1401E+01  1.5036E+01
 16.000  3.6670E-01  5.4125E-01 -1.9972E+01  0.9136E+00  2.3323E+01  1.6033E+01
 17.000  1.1526E-01  5.3191E-01 -2.0084E+01  0.9132E+00  2.5285E+01  1.7030E+01
 18.000 -1.2751E-01  5.1022E-01 -2.0210E+01  0.9122E+00  2.7285E+01  1.8028E+01
 19.000 -3.5048E-01  4.8395E-01 -2.0326E+01  0.9113E+00  2.9319E+01  1.9026E+01
 20.000 -5.5428E-01  4.5581E-01 -2.0451E+01  0.9113E+00  3.1386E+01  2.0024E+01
